[0.000000] (-) TimerEvent: {}
[0.000233] (-) JobUnselected: {'identifier': 'ariaNode'}
[0.000298] (-) JobUnselected: {'identifier': 'digit_recognition'}
[0.000442] (-) JobUnselected: {'identifier': 'lakibeam1'}
[0.000558] (-) JobUnselected: {'identifier': 'master'}
[0.000652] (-) JobUnselected: {'identifier': 'my_package2'}
[0.000686] (-) JobUnselected: {'identifier': 'nav2_costmap_filters_demo'}
[0.000740] (-) JobUnselected: {'identifier': 'nav2_gps_waypoint_follower_demo'}
[0.000758] (-) JobUnselected: {'identifier': 'nav2_gradient_costmap_plugin'}
[0.000775] (-) JobUnselected: {'identifier': 'nav2_pure_pursuit_controller'}
[0.000801] (-) JobUnselected: {'identifier': 'nav2_sms_behavior'}
[0.000824] (-) JobUnselected: {'identifier': 'nav2_straightline_planner'}
[0.000984] (-) JobUnselected: {'identifier': 'sam_bot_description'}
[0.001014] (p3at_description) JobQueued: {'identifier': 'p3at_description', 'dependencies': OrderedDict()}
[0.066691] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/install\n'}
[0.066755] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/install/_local_setup_util_ps1.py\n'}
[0.067328] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/install/COLCON_IGNORE\n'}
[0.067399] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/install/local_setup.ps1\n'}
[0.067474] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/install/setup.sh\n'}
[0.067542] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/install/.colcon_install_layout\n'}
[0.067612] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/install/local_setup.bash\n'}
[0.067687] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/install/setup.zsh\n'}
[0.067791] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/install/local_setup.sh\n'}
[0.067864] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/install/setup.bash\n'}
[0.067928] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/install/_local_setup_util_sh.py\n'}
[0.067992] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/install/setup.ps1\n'}
[0.068057] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/install/local_setup.zsh\n'}
[0.068142] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/log\n'}
[0.068208] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/log/latest\n'}
[0.068273] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/log/COLCON_IGNORE\n'}
[0.068338] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/log/build_2025-05-17_10-45-05\n'}
[0.068434] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/log/build_2025-05-17_10-45-05/logger_all.log\n'}
[0.068544] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/log/build_2025-05-17_10-45-05/events.log\n'}
[0.068650] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/log/latest_build\n'}
[0.068720] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/ekf_launch.py\n'}
[0.068797] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/build\n'}
[0.068883] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/build/COLCON_IGNORE\n'}
[0.069002] (p3at_description) StdoutLine: {'line': b'-- Installing: /workspace/ros_ws/install/p3at_description/share/p3at_description/launch/build/.built_by\n'}
[0.069057] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes\n'}
[0.069108] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/axle.dae\n'}
[0.069158] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/top.dae\n'}
[0.069212] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/hokuyo.dae\n'}
[0.069280] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/kinect.dae\n'}
[0.069343] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/right_hubcap.dae\n'}
[0.069403] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/kinect.tga\n'}
[0.069462] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/hokuyo_convex.stl\n'}
[0.069522] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/tampa1_mesh.dae\n'}
[0.069710] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/suporte_kinect_mesh.dae\n'}
[0.069816] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/suporte_base_mesh.dae\n'}
[0.069900] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/suporte_depth_mesh.dae\n'}
[0.070011] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/hokuyo1.dae\n'}
[0.070104] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/wheel.dae\n'}
[0.070218] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/back_sonar.dae\n'}
[0.070311] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/suporte_armControl_mesh.dae\n'}
[0.070379] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/suporte_base_mesh2.dae\n'}
[0.070430] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/arm_control_box_mesh.dae\n'}
[0.070481] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/tampa2_mesh.dae\n'}
[0.070529] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/back_sonar_mesh.dae\n'}
[0.070627] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/left_hubcap_mesh.dae\n'}
[0.070683] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/tampa4_mesh.dae\n'}
[0.070733] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/tampa3_mesh.dae\n'}
[0.070781] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/left_hubcap.dae\n'}
[0.070839] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes\n'}
[0.070897] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/axle.dae\n'}
[0.070971] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/top.dae\n'}
[0.071049] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/front_sonar.stl\n'}
[0.071134] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/right_hubcap.dae\n'}
[0.071225] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/top.stl\n'}
[0.071316] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/.svn\n'}
[0.071396] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/.svn/entries\n'}
[0.071484] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/.svn/text-base\n'}
[0.071574] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/.svn/text-base/wheel.stl.svn-base\n'}
[0.071669] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/.svn/text-base/right_hubcap.stl.svn-base\n'}
[0.071762] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/.svn/text-base/chassis.stl.svn-base\n'}
[0.071857] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/.svn/text-base/top.stl.svn-base\n'}
[0.071951] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/.svn/text-base/axle.stl.svn-base\n'}
[0.072047] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/.svn/text-base/back_sonar.stl.svn-base\n'}
[0.072104] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/.svn/text-base/front_sonar.stl.svn-base\n'}
[0.072207] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/.svn/text-base/left_hubcap.stl.svn-base\n'}
[0.072258] (p3at_description) StdoutLine: {'line': b'-- Up-to-date: /workspace/ros_ws/install/p3at_description/share/p3at_description/meshes/p3at_meshes/.svn/text-base/Coordinates.svn-base\n'}
